51,2014Q1,ML0004,27/01/2014,Dry,18:45:00,Weekday,A,Northbound,n/a,Private cycles,3
52,2014Q1,ML0004,27/01/2014,Dry,19:00:00,Weekday,A,Northbound,n/a,Private cycles,6
53,2014Q1,ML0004,27/01/2014,Dry,19:15:00,Weekday,A,Northbound,n/a,Private cycles,5
54,2014Q1,ML0004,27/01/2014,Dry,19:30:00,Weekday,A,Northbound,n/a,Private cycles,1
55,2014Q1,ML0004,27/01/2014,Dry,19:45:00,Weekday,A,Northbound,n/a,Private cycles,2
56,2014Q1,ML0004,27/01/2014,Dry,20:00:00,Weekday,A,Northbound,n/a,Private cycles,2
57,2014Q1,ML0004,27/01/2014,Dry,20:15:00,Weekday,A,Northbound,n/a,Private cycles,3
58,2014Q1,ML0004,27/01/2014,Dry,20:30:00,Weekday,A,Northbound,n/a,Private cycles,0
59,2014Q1,ML0004,27/01/2014,Dry,20:45:00,Weekday,A,Northbound,n/a,Private cycles,2
60,2014Q1,ML0004,27/01/2014,Dry,21:00:00,Weekday,A,Northbound,n/a,Private cycles,2
61,2014Q1,ML0004,27/01/2014,Dry,21:15:00,Weekday,A,Northbound,n/a,Private cycles,3
62,2014Q1,ML0004,27/01/2014,Dry,21:30:00,Weekday,A,Northbound,n/a,Private cycles,2
63,2014Q1,ML0004,27/01/2014,Dry,21:45:00,Weekday,A,Northbound,n/a,Private cycles,3
64,2014Q1,ML0004,23/01/2014,Dry,06:00:00,Weekday,A,Southbound,n/a,Private cycles,5
65,2014Q1,ML0004,23/01/2014,Dry,06:15:00,Weekday,A,Southbound,n/a,Private cycles,1
66,2014Q1,ML0004,23/01/2014,Dry,06:30:00,Weekday,A,Southbound,n/a,Private cycles,0
67,2014Q1,ML0004,23/01/2014,Dry,06:45:00,Weekday,A,Southbound,n/a,Private cycles,2
68,2014Q1,ML0004,23/01/2014,Dry,07:00:00,Weekday,A,Southbound,n/a,Private cycles,1
69,2014Q1,ML0004,23/01/2014,Dry,07:15:00,Weekday,A,Southbound,n/a,Private cycles,1
70,2014Q1,ML0004,23/01/2014,Dry,07:30:00,Weekday,A,Southbound,n/a,Private cycles,6
71,2014Q1,ML0004,23/01/2014,Dry,07:45:00,Weekday,A,Southbound,n/a,Private cycles,5
72,2014Q1,ML0004,23/01/2014,Dry,08:00:00,Weekday,A,Southbound,n/a,Private cycles,6
73,2014Q1,ML0004,23/01/2014,Dry,08:15:00,Weekday,A,Southbound,n/a,Private cycles,10
74,2014Q1,ML0004,23/01/2014,Dry,08:30:00,Weekday,A,Southbound,n/a,Private cycles,14
75,2014Q1,ML0004,23/01/2014,Dry,08:45:00,Weekday,A,Southbound,n/a,Private cycles,21
76,2014Q1,ML0004,23/01/2014,Dry,09:00:00,Weekday,A,Southbound,n/a,Private cycles,6
77,2014Q1,ML0004,23/01/2014,Rain,09:15:00,Weekday,A,Southbound,n/a,Private cycles,10
78,2014Q1,ML0004,23/01/2014,Rain,09:30:00,Weekday,A,Southbound,n/a,Private cycles,9
79,2014Q1,ML0004,23/01/2014,Rain,09:45:00,Weekday,A,Southbound,n/a,Private cycles,11
80,2014Q1,ML0004,23/01/2014,Rain,10:00:00,Weekday,A,Southbound,n/a,Private cycles,4
81,2014Q1,ML0004,23/01/2014,Wet,10:15:00,Weekday,A,Southbound,n/a,Private cycles,3
